d(0, 0) = 0
d(210, 210) = 296.984848098
d(211, 211) = 298.399061661
d(212, 212) = 299.813275223
d(213, 213) = 301.227488785
d(214, 214) = 302.641702348
d(215, 215) = 304.05591591
d(216, 216) = 305.470129473
d(217, 217) = 306.884343035
d(218, 218) = 308.298556597
d(219, 219) = 309.71277016
d(220, 220) = 311.126983722
d(221, 221) = 312.541197284
d(222, 222) = 313.955410847
d(223, 223) = 315.369624409
d(224, 224) = 316.783837972
d(225, 225) = 318.198051534
d(226, 226) = 319.612265096
d(227, 227) = 321.026478659
d(228, 228) = 322.440692221
d(229, 229) = 323.854905783
d(230, 230) = 325.269119346
d(231, 231) = 326.683332908
d(232, 232) = 328.097546471
d(233, 233) = 329.511760033
d(234, 234) = 330.925973595
d(235, 235) = 332.340187158
d(236, 236) = 333.75440072
d(237, 237) = 335.168614282
d(238, 238) = 336.582827845
d(239, 239) = 337.997041407
d(240, 240) = 339.41125497
d(241, 241) = 340.825468532
d(242, 242) = 342.239682094
d(243, 243) = 343.653895657
d(244, 244) = 345.068109219
d(245, 245) = 346.482322781
d(246, 246) = 347.896536344
d(247, 247) = 349.310749906
d(248, 248) = 350.724963469
d(249, 249) = 352.139177031
d(250, 250) = 353.553390593
d(251, 251) = 354.967604156
d(252, 252) = 356.381817718
d(253, 253) = 357.79603128
d(254, 254) = 359.210244843
d(255, 255) = 360.624458405
d(256, 256) = 362.038671968
d(257, 257) = 363.45288553
d(258, 258) = 364.867099092
d(259, 259) = 366.281312655
d(260, 260) = 367.695526217
d(261, 261) = 369.109739779
d(262, 262) = 370.523953342
d(263, 263) = 371.938166904
d(264, 264) = 373.352380466
d(265, 265) = 374.766594029
d(266, 266) = 376.180807591
d(267, 267) = 377.595021154
d(268, 268) = 379.009234716
d(269, 269) = 380.423448278
d(270, 270) = 381.837661841
d(271, 271) = 383.251875403
d(272, 272) = 384.666088965
d(273, 273) = 386.080302528
d(274, 274) = 387.49451609
d(275, 275) = 388.908729653
d(276, 276) = 390.322943215
d(277, 277) = 391.737156777
d(278, 278) = 393.15137034
d(279, 279) = 394.565583902
d(280, 280) = 395.979797464
d(281, 281) = 397.394011027
d(282, 282) = 398.808224589
d(283, 283) = 400.222438152
d(284, 284) = 401.636651714
d(285, 285) = 403.050865276
d(286, 286) = 404.465078839
d(287, 287) = 405.879292401
d(288, 288) = 407.293505963
d(289, 289) = 408.707719526
d(290, 290) = 410.121933088
d(291, 291) = 411.536146651
d(292, 292) = 412.950360213
d(293, 293) = 414.364573775
d(294, 294) = 415.778787338
d(295, 295) = 417.1930009
d(296, 296) = 418.607214462
d(297, 297) = 420.021428025
d(298, 298) = 421.435641587
d(299, 299) = 422.84985515
d(300, 300) = 424.264068712
d(301, 301) = 425.678282274
d(302, 302) = 427.092495837
d(303, 303) = 428.506709399
d(304, 304) = 429.920922961
d(305, 305) = 431.335136524
d(306, 306) = 432.749350086
d(307, 307) = 434.163563649
d(308, 308) = 435.577777211
d(309, 309) = 436.991990773
d(310, 310) = 438.406204336
d(311, 311) = 439.820417898
d(312, 312) = 441.23463146
d(313, 313) = 442.648845023
d(314, 314) = 444.063058585
d(315, 315) = 445.477272148
d(316, 316) = 446.89148571
d(317, 317) = 448.305699272
d(318, 318) = 449.719912835
d(319, 319) = 451.134126397
d(320, 320) = 452.548339959
d(321, 321) = 453.962553522
d(322, 322) = 455.376767084
d(323, 323) = 456.790980647
d(324, 324) = 458.205194209
d(325, 325) = 459.619407771
d(326, 326) = 461.033621334
d(327, 327) = 462.447834896
d(328, 328) = 463.862048458
d(329, 329) = 465.276262021
d(330, 330) = 466.690475583
d(331, 331) = 468.104689145
d(332, 332) = 469.518902708
d(333, 333) = 470.93311627
d(334, 334) = 472.347329833
d(335, 335) = 473.761543395
d(336, 336) = 475.175756957
d(337, 337) = 476.58997052
d(338, 338) = 478.004184082
d(339, 339) = 479.418397644
d(340, 340) = 480.832611207
d(341, 341) = 482.246824769
d(342, 342) = 483.661038332
d(343, 343) = 485.075251894
d(344, 344) = 486.489465456
d(345, 345) = 487.903679019
d(346, 346) = 489.317892581
d(347, 347) = 490.732106143
d(348, 348) = 492.146319706
d(349, 349) = 493.560533268
d(350, 350) = 494.974746831
d(351, 351) = 496.388960393
d(352, 352) = 497.803173955
d(353, 353) = 499.217387518
d(354, 354) = 500.63160108
d(355, 355) = 502.045814642
d(356, 356) = 503.460028205
d(357, 357) = 504.874241767
d(358, 358) = 506.28845533
d(359, 359) = 507.702668892
d(360, 360) = 509.116882454
d(361, 361) = 510.531096017
d(362, 362) = 511.945309579
d(363, 363) = 513.359523141
d(364, 364) = 514.773736704
d(365, 365) = 516.187950266
d(366, 366) = 517.602163829
d(367, 367) = 519.016377391
d(368, 368) = 520.430590953
d(369, 369) = 521.844804516
d(370, 370) = 523.259018078
d(371, 371) = 524.67323164
d(372, 372) = 526.087445203
d(373, 373) = 527.501658765
d(374, 374) = 528.915872328
d(375, 375) = 530.33008589
d(376, 376) = 531.744299452
d(377, 377) = 533.158513015
d(378, 378) = 534.572726577
d(379, 379) = 535.986940139
d(380, 380) = 537.401153702
d(381, 381) = 538.815367264
d(382, 382) = 540.229580827
d(383, 383) = 541.643794389
d(384, 384) = 543.058007951
d(385, 385) = 544.472221514
d(386, 386) = 545.886435076
d(387, 387) = 547.300648638
d(388, 388) = 548.714862201
d(389, 389) = 550.129075763
d(390, 390) = 551.543289326
d(391, 391) = 552.957502888
d(392, 392) = 554.37171645
d(393, 393) = 555.785930013
d(394, 394) = 557.200143575
d(395, 395) = 558.614357137
d(396, 396) = 560.0285707
d(397, 397) = 561.442784262
d(398, 398) = 562.856997824
d(399, 399) = 564.271211387
d(400, 400) = 565.685424949
d(401, 401) = 567.099638512
d(402, 402) = 568.513852074
d(403, 403) = 569.928065636
d(404, 404) = 571.342279199
d(405, 405) = 572.756492761
d(406, 406) = 574.170706323
d(407, 407) = 575.584919886
d(408, 408) = 576.999133448
d(409, 409) = 578.413347011
d(410, 410) = 579.827560573
d(411, 411) = 581.241774135
d(412, 412) = 582.655987698
d(413, 413) = 584.07020126
d(414, 414) = 585.484414822
d(415, 415) = 586.898628385
d(416, 416) = 588.312841947
d(417, 417) = 589.72705551
d(418, 418) = 591.141269072
d(419, 419) = 592.555482634
d(420, 420) = 593.969696197
d(421, 421) = 595.383909759
d(422, 422) = 596.798123321
d(423, 423) = 598.212336884
d(424, 424) = 599.626550446
d(425, 425) = 601.040764009
d(426, 426) = 602.454977571
d(427, 427) = 603.869191133
d(428, 428) = 605.283404696
d(429, 429) = 606.697618258
d(430, 430) = 608.11183182
d(431, 431) = 609.526045383
d(432, 432) = 610.940258945
d(433, 433) = 612.354472508
d(434, 434) = 613.76868607
d(435, 435) = 615.182899632
d(436, 436) = 616.597113195
d(437, 437) = 618.011326757
d(438, 438) = 619.425540319
d(439, 439) = 620.839753882
d(440, 440) = 622.253967444
d(441, 441) = 623.668181007
d(442, 442) = 625.082394569
d(443, 443) = 626.496608131
d(444, 444) = 627.910821694
d(445, 445) = 629.325035256
d(446, 446) = 630.739248818
d(447, 447) = 632.153462381
d(448, 448) = 633.567675943
d(449, 449) = 634.981889506
d(450, 450) = 636.396103068
d(451, 451) = 637.81031663
d(452, 452) = 639.224530193
d(453, 453) = 640.638743755
d(454, 454) = 642.052957317
d(455, 455) = 643.46717088
d(456, 456) = 644.881384442
d(457, 457) = 646.295598005
d(458, 458) = 647.709811567
d(459, 459) = 649.124025129
d(460, 460) = 650.538238692
d(461, 461) = 651.952452254
d(462, 462) = 653.366665816
d(463, 463) = 654.780879379
d(464, 464) = 656.195092941
d(465, 465) = 657.609306503
d(466, 466) = 659.023520066
d(467, 467) = 660.437733628
d(468, 468) = 661.851947191
d(469, 469) = 663.266160753
d(470, 470) = 664.680374315
d(471, 471) = 666.094587878
d(472, 472) = 667.50880144
d(473, 473) = 668.923015002
d(474, 474) = 670.337228565
d(475, 475) = 671.751442127
d(476, 476) = 673.16565569
d(477, 477) = 674.579869252
d(478, 478) = 675.994082814
d(479, 479) = 677.408296377
d(480, 480) = 678.822509939
d(481, 481) = 680.236723501
d(482, 482) = 681.650937064
d(483, 483) = 683.065150626
d(484, 484) = 684.479364189
d(485, 485) = 685.893577751
d(486, 486) = 687.307791313
d(487, 487) = 688.722004876
d(488, 488) = 690.136218438
d(489, 489) = 691.550432
d(490, 490) = 692.964645563
d(491, 491) = 694.378859125
d(492, 492) = 695.793072688
d(493, 493) = 697.20728625
d(494, 494) = 698.621499812
d(495, 495) = 700.035713375
d(496, 496) = 701.449926937
d(497, 497) = 702.864140499
d(498, 498) = 704.278354062
d(499, 499) = 705.692567624
d(500, 500) = 707.106781187
d(501, 501) = 708.520994749
d(502, 502) = 709.935208311
d(503, 503) = 711.349421874
d(504, 504) = 712.763635436
d(505, 505) = 714.177848998
d(506, 506) = 715.592062561
d(507, 507) = 717.006276123
d(508, 508) = 718.420489686
d(509, 509) = 719.834703248
d(510, 510) = 721.24891681
d(511, 511) = 722.663130373
d(512, 512) = 724.077343935
d(513, 513) = 725.491557497
d(514, 514) = 726.90577106
d(515, 515) = 728.319984622
d(516, 516) = 729.734198185
d(517, 517) = 731.148411747
d(518, 518) = 732.562625309
d(519, 519) = 733.976838872
d(520, 520) = 735.391052434
d(521, 521) = 736.805265996
d(522, 522) = 738.219479559
d(523, 523) = 739.633693121
d(524, 524) = 741.047906684
d(525, 525) = 742.462120246
d(526, 526) = 743.876333808
d(527, 527) = 745.290547371
d(528, 528) = 746.704760933
d(529, 529) = 748.118974495
d(530, 530) = 749.533188058
d(531, 531) = 750.94740162
d(532, 532) = 752.361615182
d(533, 533) = 753.775828745
d(534, 534) = 755.190042307
d(535, 535) = 756.60425587
d(536, 536) = 758.018469432
d(537, 537) = 759.432682994
d(538, 538) = 760.846896557
d(539, 539) = 762.261110119
d(540, 540) = 763.675323681
d(541, 541) = 765.089537244
d(542, 542) = 766.503750806
d(543, 543) = 767.917964369
d(544, 544) = 769.332177931
d(545, 545) = 770.746391493
d(546, 546) = 772.160605056
d(547, 547) = 773.574818618
d(548, 548) = 774.98903218
d(549, 549) = 776.403245743
d(550, 550) = 777.817459305
d(551, 551) = 779.231672868
d(552, 552) = 780.64588643
d(553, 553) = 782.060099992
d(554, 554) = 783.474313555
d(555, 555) = 784.888527117
d(556, 556) = 786.302740679
d(557, 557) = 787.716954242
d(558, 558) = 789.131167804
d(559, 559) = 790.545381367
d(560, 560) = 791.959594929
d(561, 561) = 793.373808491
d(562, 562) = 794.788022054
d(563, 563) = 796.202235616
d(564, 564) = 797.616449178
d(565, 565) = 799.030662741
d(566, 566) = 800.444876303
d(567, 567) = 801.859089866
d(568, 568) = 803.273303428
d(569, 569) = 804.68751699
d(570, 570) = 806.101730553
d(571, 571) = 807.515944115
d(572, 572) = 808.930157677
d(573, 573) = 810.34437124
d(574, 574) = 811.758584802
d(575, 575) = 813.172798365
d(576, 576) = 814.587011927
d(577, 577) = 816.001225489
d(578, 578) = 817.415439052
d(579, 579) = 818.829652614
d(580, 580) = 820.243866176
d(581, 581) = 821.658079739
d(582, 582) = 823.072293301
d(583, 583) = 824.486506864
d(584, 584) = 825.900720426
d(585, 585) = 827.314933988
d(586, 586) = 828.729147551
d(587, 587) = 830.143361113
d(588, 588) = 831.557574675
d(589, 589) = 832.971788238
d(590, 590) = 834.3860018
d(591, 591) = 835.800215362
d(592, 592) = 837.214428925
d(593, 593) = 838.628642487
d(594, 594) = 840.04285605
d(595, 595) = 841.457069612
d(596, 596) = 842.871283174
d(597, 597) = 844.285496737
d(598, 598) = 845.699710299
d(599, 599) = 847.113923861
d(600, 600) = 848.528137424
d(601, 601) = 849.942350986
d(602, 602) = 851.356564549
d(603, 603) = 852.770778111
d(604, 604) = 854.184991673
d(605, 605) = 855.599205236
d(606, 606) = 857.013418798
d(607, 607) = 858.42763236
d(608, 608) = 859.841845923
d(609, 609) = 861.256059485
d(610, 610) = 862.670273048
d(611, 611) = 864.08448661
d(612, 612) = 865.498700172
d(613, 613) = 866.912913735
d(614, 614) = 868.327127297
d(615, 615) = 869.741340859
d(616, 616) = 871.155554422
d(617, 617) = 872.569767984
d(618, 618) = 873.983981547
d(619, 619) = 875.398195109
d(620, 620) = 876.812408671
d(621, 621) = 878.226622234
d(622, 622) = 879.640835796
d(623, 623) = 881.055049358
d(624, 624) = 882.469262921
d(625, 625) = 883.883476483
d(626, 626) = 885.297690046
d(627, 627) = 886.711903608
d(628, 628) = 888.12611717
d(629, 629) = 889.540330733
d(630, 630) = 890.954544295
d(631, 631) = 892.368757857
d(632, 632) = 893.78297142
d(633, 633) = 895.197184982
d(634, 634) = 896.611398545
d(635, 635) = 898.025612107
d(636, 636) = 899.439825669
d(637, 637) = 900.854039232
d(638, 638) = 902.268252794
d(639, 639) = 903.682466356
d(640, 640) = 905.096679919
d(641, 641) = 906.510893481
d(642, 642) = 907.925107044
d(643, 643) = 909.339320606
d(644, 644) = 910.753534168
d(645, 645) = 912.167747731
d(646, 646) = 913.581961293
d(647, 647) = 914.996174855
d(648, 648) = 916.410388418
d(649, 649) = 917.82460198
d(650, 650) = 919.238815543
d(651, 651) = 920.653029105
d(652, 652) = 922.067242667
d(653, 653) = 923.48145623
d(654, 654) = 924.895669792
d(655, 655) = 926.309883354
d(656, 656) = 927.724096917
d(657, 657) = 929.138310479
d(658, 658) = 930.552524041
d(659, 659) = 931.966737604
d(660, 660) = 933.380951166
d(661, 661) = 934.795164729
d(662, 662) = 936.209378291
d(663, 663) = 937.623591853
d(664, 664) = 939.037805416
d(665, 665) = 940.452018978
d(666, 666) = 941.86623254
d(667, 667) = 943.280446103
d(668, 668) = 944.694659665
d(669, 669) = 946.108873228
d(670, 670) = 947.52308679
d(671, 671) = 948.937300352
d(672, 672) = 950.351513915
d(673, 673) = 951.765727477
d(674, 674) = 953.179941039
d(675, 675) = 954.594154602
d(676, 676) = 956.008368164
d(677, 677) = 957.422581727
d(678, 678) = 958.836795289
d(679, 679) = 960.251008851
d(680, 680) = 961.665222414
d(681, 681) = 963.079435976
d(682, 682) = 964.493649538
d(683, 683) = 965.907863101
d(684, 684) = 967.322076663
d(685, 685) = 968.736290226
d(686, 686) = 970.150503788
d(687, 687) = 971.56471735
d(688, 688) = 972.978930913
d(689, 689) = 974.393144475
d(690, 690) = 975.807358037
d(691, 691) = 977.2215716
d(692, 692) = 978.635785162
d(693, 693) = 980.049998725
d(694, 694) = 981.464212287
d(695, 695) = 982.878425849
d(696, 696) = 984.292639412
d(697, 697) = 985.706852974
d(698, 698) = 987.121066536
d(699, 699) = 988.535280099
d(700, 700) = 989.949493661
d(701, 701) = 991.363707224
d(702, 702) = 992.777920786
d(703, 703) = 994.192134348
d(704, 704) = 995.606347911
d(705, 705) = 997.020561473
d(706, 706) = 998.434775035
d(707, 707) = 999.848988598
d(708, 708) = 1001.26320216
d(709, 709) = 1002.67741572
d(710, 710) = 1004.09162928
d(711, 711) = 1005.50584285
d(712, 712) = 1006.92005641
d(713, 713) = 1008.33426997
d(714, 714) = 1009.74848353
d(715, 715) = 1011.1626971
d(716, 716) = 1012.57691066
d(717, 717) = 1013.99112422
d(718, 718) = 1015.40533778
d(719, 719) = 1016.81955135
d(720, 720) = 1018.23376491
d(721, 721) = 1019.64797847
d(722, 722) = 1021.06219203
d(723, 723) = 1022.4764056
d(724, 724) = 1023.89061916
d(725, 725) = 1025.30483272
d(726, 726) = 1026.71904628
d(727, 727) = 1028.13325985
d(728, 728) = 1029.54747341
d(729, 729) = 1030.96168697
d(730, 730) = 1032.37590053
d(731, 731) = 1033.79011409
d(732, 732) = 1035.20432766
d(733, 733) = 1036.61854122
d(734, 734) = 1038.03275478
d(735, 735) = 1039.44696834
d(736, 736) = 1040.86118191
d(737, 737) = 1042.27539547
d(738, 738) = 1043.68960903
d(739, 739) = 1045.10382259
d(740, 740) = 1046.51803616
d(741, 741) = 1047.93224972
d(742, 742) = 1049.34646328
d(743, 743) = 1050.76067684
d(744, 744) = 1052.17489041
d(745, 745) = 1053.58910397
d(746, 746) = 1055.00331753
d(747, 747) = 1056.41753109
d(748, 748) = 1057.83174466
d(749, 749) = 1059.24595822
d(750, 750) = 1060.66017178
d(751, 751) = 1062.07438534
d(752, 752) = 1063.4885989
d(753, 753) = 1064.90281247
d(754, 754) = 1066.31702603
d(755, 755) = 1067.73123959
d(756, 756) = 1069.14545315
d(757, 757) = 1070.55966672
d(758, 758) = 1071.97388028
d(759, 759) = 1073.38809384
d(760, 760) = 1074.8023074
d(761, 761) = 1076.21652097
d(762, 762) = 1077.63073453
d(763, 763) = 1079.04494809
d(764, 764) = 1080.45916165
d(765, 765) = 1081.87337522
d(766, 766) = 1083.28758878
d(767, 767) = 1084.70180234
d(768, 768) = 1086.1160159
d(769, 769) = 1087.53022946
d(770, 770) = 1088.94444303
d(771, 771) = 1090.35865659
d(772, 772) = 1091.77287015
d(773, 773) = 1093.18708371
d(774, 774) = 1094.60129728
d(775, 775) = 1096.01551084
d(776, 776) = 1097.4297244
d(777, 777) = 1098.84393796
d(778, 778) = 1100.25815153
d(779, 779) = 1101.67236509
d(780, 780) = 1103.08657865
d(781, 781) = 1104.50079221
d(782, 782) = 1105.91500578
d(783, 783) = 1107.32921934
d(784, 784) = 1108.7434329
d(785, 785) = 1110.15764646
d(786, 786) = 1111.57186003
d(787, 787) = 1112.98607359
d(788, 788) = 1114.40028715
d(789, 789) = 1115.81450071
d(790, 790) = 1117.22871427
d(791, 791) = 1118.64292784
d(792, 792) = 1120.0571414
d(793, 793) = 1121.47135496
d(794, 794) = 1122.88556852
d(795, 795) = 1124.29978209
d(796, 796) = 1125.71399565
d(797, 797) = 1127.12820921
d(798, 798) = 1128.54242277
d(799, 799) = 1129.95663634
d(800, 800) = 1131.3708499
d(801, 801) = 1132.78506346
d(802, 802) = 1134.19927702
d(803, 803) = 1135.61349059
d(804, 804) = 1137.02770415
d(805, 805) = 1138.44191771
d(806, 806) = 1139.85613127
d(807, 807) = 1141.27034484
d(808, 808) = 1142.6845584
d(809, 809) = 1144.09877196
d(810, 810) = 1145.51298552
d(811, 811) = 1146.92719908
d(812, 812) = 1148.34141265
d(813, 813) = 1149.75562621
d(814, 814) = 1151.16983977
d(815, 815) = 1152.58405333
d(816, 816) = 1153.9982669
d(817, 817) = 1155.41248046
d(818, 818) = 1156.82669402
d(819, 819) = 1158.24090758
d(820, 820) = 1159.65512115
d(821, 821) = 1161.06933471
d(822, 822) = 1162.48354827
d(823, 823) = 1163.89776183
d(824, 824) = 1165.3119754
d(825, 825) = 1166.72618896
d(826, 826) = 1168.14040252
d(827, 827) = 1169.55461608
d(828, 828) = 1170.96882964
d(829, 829) = 1172.38304321
d(830, 830) = 1173.79725677
d(831, 831) = 1175.21147033
d(832, 832) = 1176.62568389
d(833, 833) = 1178.03989746
d(834, 834) = 1179.45411102
d(835, 835) = 1180.86832458
d(836, 836) = 1182.28253814
d(837, 837) = 1183.69675171
d(838, 838) = 1185.11096527
d(839, 839) = 1186.52517883
d(840, 840) = 1187.93939239
d(841, 841) = 1189.35360596
d(842, 842) = 1190.76781952
d(843, 843) = 1192.18203308
d(844, 844) = 1193.59624664
d(845, 845) = 1195.01046021
d(846, 846) = 1196.42467377
d(847, 847) = 1197.83888733
d(848, 848) = 1199.25310089
d(849, 849) = 1200.66731445
d(850, 850) = 1202.08152802
d(851, 851) = 1203.49574158
d(852, 852) = 1204.90995514
d(853, 853) = 1206.3241687
d(854, 854) = 1207.73838227
d(855, 855) = 1209.15259583
d(856, 856) = 1210.56680939
d(857, 857) = 1211.98102295
d(858, 858) = 1213.39523652
d(859, 859) = 1214.80945008
d(860, 860) = 1216.22366364
d(861, 861) = 1217.6378772
d(862, 862) = 1219.05209077
d(863, 863) = 1220.46630433
d(864, 864) = 1221.88051789
d(865, 865) = 1223.29473145
d(866, 866) = 1224.70894502
d(867, 867) = 1226.12315858
d(868, 868) = 1227.53737214
d(869, 869) = 1228.9515857
d(870, 870) = 1230.36579926
d(871, 871) = 1231.78001283
d(872, 872) = 1233.19422639
d(873, 873) = 1234.60843995
d(874, 874) = 1236.02265351
d(875, 875) = 1237.43686708
d(876, 876) = 1238.85108064
d(877, 877) = 1240.2652942
d(878, 878) = 1241.67950776
d(879, 879) = 1243.09372133
d(880, 880) = 1244.50793489
d(881, 881) = 1245.92214845
d(882, 882) = 1247.33636201
d(883, 883) = 1248.75057558
d(884, 884) = 1250.16478914
d(885, 885) = 1251.5790027
d(886, 886) = 1252.99321626
d(887, 887) = 1254.40742982
d(888, 888) = 1255.82164339
d(889, 889) = 1257.23585695
d(890, 890) = 1258.65007051
d(891, 891) = 1260.06428407
d(892, 892) = 1261.47849764
d(893, 893) = 1262.8927112
d(894, 894) = 1264.30692476
d(895, 895) = 1265.72113832
d(896, 896) = 1267.13535189
d(897, 897) = 1268.54956545
d(898, 898) = 1269.96377901
d(899, 899) = 1271.37799257
d(900, 900) = 1272.79220614
d(901, 901) = 1274.2064197
d(902, 902) = 1275.62063326
d(903, 903) = 1277.03484682
d(904, 904) = 1278.44906039
d(905, 905) = 1279.86327395
d(906, 906) = 1281.27748751
d(907, 907) = 1282.69170107
d(908, 908) = 1284.10591463
d(909, 909) = 1285.5201282
d(910, 910) = 1286.93434176
d(911, 911) = 1288.34855532
d(912, 912) = 1289.76276888
d(913, 913) = 1291.17698245
